codi;municipi;comarca;any;Lloguer_Mitja;Població;Poblacio_Estrangera_Total;Percentatge_Poblacio_Estrangera;Preu / m2 Habitatge total;Compres totals;Rati_VPO;Rati_Obra_Nova;RFDB_Nominal;IPC_Index;Lloguer_Real;RFDB_Real;Tasa_Esforç_Lloguer;Preu_Vivenda_Mig;Anys_Salari_Compra;Tasa_Esforç_Compra;provincia;distancia_km;costa
08124;Mollet del Vallès;Vallès Oriental;2025;741,6453218;527488;75800;14,37;2414,03;601;5,32445923460898e+00;2,91181364392679e+01;18103;100,0;741,645321800000;18103,0000000000;49,1617072396840;217262,7;12,00147489366403;54,6358577045221;Barcelona;23;0
08125;Montcada i Reixac;Vallès Occidental;2025;725,9420325;374409;53840;14,38;2255,40;318;1,25786163522013e+00;2,73584905660377e+01;17556;100,0;725,942032500000;17556,0000000000;49,6200979152427;202986,0;11,56220095693780;52,6360944660096;Barcelona;14;0
08126;Montgat;Maresme;2025;1156,9782000;128339;16530;12,88;3849,74;113;1,76991150442478e+00;8,84955752212389e+00;21077;100,0;1156,978200000000;21077,0000000000;65,8715111300000;346476,6;16,43861080798975;74,8356022000000;Barcelona;15;1
08135;Montmeló;Vallès Oriental;2025;715,1820968;88672;7280;8,21;2646,44;58;0,00000000000000e+00;2,58620689655172e+01;18643;100,0;715,182096800000;18643,0000000000;46,0343569253875;238179,6;12,77581934238052;58,1610055292028;Barcelona;24;0
08136;Montornès del Vallès;Vallès Oriental;2025;711,5854255;170625;21550;12,63;2289,92;150;3,33333333333333e+00;1,33333333333333e+01;17821;100,0;711,585425500000;17821,0000000000;47,9155216093373;206092,8;11,56460355760058;52,6470321340125;Barcelona;26;0
08138;Moià;Moianès;2025;524,5766667;68090;9730;14,29;1638,37;71;0,00000000000000e+00;1,83098591549296e+01;17819;100,0;524,576666700000;17819,0000000000;35,3270104966609;147453,3;8,27506032900000;37,6716214156937;Barcelona;55;0
08140;Navarcles;Bages;2025;532,8762500;62788;5180;8,25;1486,16;58;0,00000000000000e+00;3,44827586206897e+01;19157;100,0;532,876250000000;19157,0000000000;33,3795218458005;133754,4;6,98201179725427;31,7851102823594;Barcelona;60;0
08141;Navàs;Bages;2025;454,9028571;62437;7380;11,82;1037,79;53;1,88679245283019e+00;1,32075471698113e+01;18716;100,0;454,902857100000;18716,0000000000;29,1666717525112;93401,1;4,99044133361829;22,7186279188301;Barcelona;80;0
08147;Olesa de Montserrat;Baix Llobregat;2025;680,1369872;250000;25100;10,04;2113,41;253;0,00000000000000e+00;1,18577075098814e+00;18211;100,0;680,136987200000;18211,0000000000;44,8171096900000;190206,9;10,44461589149415;47,5483682365847;Barcelona;38;0
08155;Palafolls;Maresme;2025;622,7111111;100268;7470;7,45;2225,39;136;0,00000000000000e+00;2,35294117647059e+01;17053;100,0;622,711111100000;17053,0000000000;43,8194648050196;200285,1;11,74486014191051;53,4676373661128;Barcelona;60;0
08156;Palau-solità i Plegamans;Vallès Occidental;2025;846,4560674;155848;11860;7,61;2521,66;174;0,00000000000000e+00;3,67816092000000e+01;20270;100,0;846,456067400000;20270,0000000000;50,1108673349778;226949,4;11,19631968426246;50,9704460913091;Barcelona;28;0
