codi;municipi;comarca;any;Lloguer_Mitja;Població;Poblacio_Estrangera_Total;Percentatge_Poblacio_Estrangera;Preu / m2 Habitatge total;Compres totals;Rati_VPO;Rati_Obra_Nova;RFDB_Nominal;IPC_Index;Lloguer_Real;RFDB_Real;Tasa_Esforç_Lloguer;Preu_Vivenda_Mig;Anys_Salari_Compra;Tasa_Esforç_Compra
08169;Prat de Llobregat, el;Baix Llobregat;2025;849,8471619;662658;73290;11,06;3221,37;548;2,5547445255474455;14,78102189781022;18987;100;849,8471619;18987;53,71130743561383;289923,3;15,269568652235739;69,51362124112082
08172;Premià de Mar;Maresme;2025;886,2580465;293496;43320;14,76;2998,85;187;0;9,625668449;19107;100;886,2580465;19107;55,66073458941748;269896,5;14,125529910504003;64,30546653884215
08180;Ripollet;Vallès Occidental;2025;714,567032;397622;56860;14,3;2735,7;387;0,2583979328165375;6,459948320413436;17365;100;714,567032;17365;49,37981217391305;246212,99999999997;14,178692772818886;64,54748667439522
08181;Roca del Vallès, la;Vallès Oriental;2025;825,5801299;110307;6100;5,53;2386,97;122;0;9,836065573770492;21049;100;825,5801299;21049;47,06618632144045;214827,3;10,206057294883367;46,46234725548864
08183;Roda de Ter;Osona;2025;539,6274359;69465;12330;17,75;1314,25;60;0;1,6666666666666667;18015;100;539,6274359;18015;35,94520805328893;118282,5;6,565778517901749;29,890237991738093
08184;Rubí;Vallès Occidental;2025;772,190241;828218;127380;15,38;2301,42;854;0,234192037;18,384074941451992;17572;100;772,190241;17572;52,733228386068745;207127,80000000002;11,787377646255408;53,66119526944725
08187;Sabadell;Vallès Occidental;2025;808,2540374;2245353;340620;15,17;2405,61;2.524;2773,375594;38827,258320126784;19107;100;808,2540374;19107;50,761754586277284;216504,90000000002;11,331182289213379;51,58439847291598
08191;Sallent;Bages;2025;504,6603636;70446;7580;10,76;1116,68;71;0;22,535211267605636;18605;100;504,6603636;18605;32,549983140016124;100501,20000000001;5,401838215533459;24,591482855373574
08192;Santpedor;Bages;2025;614,7123333;77362;4340;5,61;2144,57;55;0;29,09090909090909;19733;100;614,7123333;19733;37,381786852480616;193011,30000000002;9,781143262555112;44,52795645663794
08194;Sant Adrià de Besòs;Barcelonès;2025;901,5139912;389889;74040;18,99;2991,04;290;1,0344827586206897;8,275862068965518;16636;100;901,5139912;16636;65,02866010098582;269193,6;16,18138975715316;73,66462172911491
08196;Sant Andreu de la Barca;Baix Llobregat;2025;737,4468342;270648;29230;10,8;2585,08;183;0;0;18230;100;737,4468342;18230;48,542852498080094;232657,19999999998;12,762325836533186;58,09957730709326
08197;Sant Andreu de Llavaneres;Maresme;2025;1158,378136;119104;16210;13,61;3054,39;164;0;20,121951219512198;22108;100;1158,378136;22108;62,87559993;274895,1;12,434191242988963;56,60576799451634
08198;Sant Antoni de Vilamajor;Vallès Oriental;2025;838,6123404;67173;4420;6,58;2056,94;67;0;7,462686567164178;20921;100;838,6123404;20921;48,101659025859185;185124,6;8,848745279862339;40,28328120149244
08200;Sant Boi de Llobregat;Baix Llobregat;2025;809,8093284;852998;105260;12,34;3010,36;752;0,6648936170212766;16,888297872340424;18638;100;809,8093284;18638;52,139242090353044;270932,4;14,536559716707803;66,17665038941405
08202;Sant Celoni;Vallès Oriental;2025;673,6048634;189101;23770;12,57;1848,08;170;0,5882352941176471;38,23529411764706;18073;100;673,6048634;18073;44,72560372268025;166327,19999999998;9,203076412;41,89634838741675
08205;Sant Cugat del Vallès;Vallès Occidental;2025;1391,050979;979607;149390;15,25;5251,95;663;0,4524886877828055;31,825037707390646;26038;100;1391,050979;26038;64,10865561103004;472675,5;18,15329518;82,64158042
08208;Sant Esteve Sesrovires;Baix Llobregat;2025;887,8369643;81070;6210;7,66;2101,79;86;0;22,093023255813954;21392;100;887,8369643;21392;49,80386860321615;189161,1;8,842609386686613;40,25534798583274
08209;Sant Fost de Campsentelles;Vallès Oriental;2025;958,0617143;94017;5500;5,85;2624,89;83;0;14,457831325301203;20327;100;958,0617143;20327;56,55896379987209;236240,09999999998;11,621985536478574;52,90825949652918
08210;Sant Feliu de Codines;Vallès Oriental;2025;670,6315385;68231;8140;11,93;1617,45;68;0;36,76470588235294;18436;100;670,6315385;18436;43,651434486873505;145570,5;7,895991538294641;35,94593780720471
08211;Sant Feliu de Llobregat;Baix Llobregat;2025;956,4237534;466859;48600;10,41;3479,14;453;13,686534216335541;26,269315673289185;21081;100;956,4237534;21081;54,44279228120108;313122,6;14,853308666571793;67,61862737192324
08213;Sant Fruitós de Bages;Bages;2025;537,502807;93191;6570;7,05;1542,66;120;4,166666666666666;50;20894;100;537,502807;20894;30,870267464343833;138839,4;6,6449411314252895;30,25062013862519
08214;Vilassar de Dalt;Maresme;2025;1103,226667;94340;8000;8,48;2683,39;67;0;5,970149253731343;22733;100;1103,226667;22733;58,23569262305899;241505,09999999998;10,623547266088945;48,36294054605953
08217;Sant Joan Despí;Baix Llobregat;2025;1102,634302;358175;39650;11,07;3826,43;257;14,007782101167315;29,961089494163424;21658;100;1102,634302;21658;61,09341409179056;344378,7;15,900761843198818;72,38708318401319
08218;Sant Joan de Vilatorrada;Bages;2025;591,9604819;111143;11670;10,5;1559,23;95;0;21,052631578947366;18226;100;591,9604819;18226;38,97468332492044;140330,7;7,699478767;35,051327442502576
08219;Vilassar de Mar;Maresme;2025;1052,684523;212387;18860;8,88;3910,57;118;0;1,694915254237288;22807;100;1052,684523;22807;55,38744366203359;351951,3;15,431722716709782;70,25181604395215
08221;Sant Just Desvern;Baix Llobregat;2025;1455,663836;210503;28060;13,33;4586,41;129;10,077519379844961;18,60465116;30352;100;1455,663836;30352;57,55128502899315;412776,89999999997;13,599660648392197;61,91148426328944
08230;Premià de Dalt;Maresme;2025;1194,715556;106046;11050;10,42;2885,78;70;0;11,428571428571429;23552;100;1194,715556;23552;60,87205618206523;259720,2;11,027522078804349;50,20200704241008
08231;Sant Pere de Ribes;Garraf;2025;906,236627;326190;58910;18,06;2696,86;408;0,7352941176470588;30,14705882352941;17972;100;906,236627;17972;60,509901647006444;242717,40000000002;13,505308257289117;61,48195173832362
08234;Sant Pere de Vilamajor;Vallès Oriental;2025;857,432963;50693;3660;7,22;1940,62;66;0;7,575757575757576;19448;100;857,432963;19448;52,90618858494446;174655,8;8,980656108597284;40,88379583259439
08235;Sant Pol de Mar;Maresme;2025;859,0941791;57775;7840;13,57;3141,17;78;0;24,358974358974358;20677;100;859,0941791;20677;49,857958839290035;282705,3;13,67245248;62,242863895936715
08238;Sant Quirze del Vallès;Vallès Occidental;2025;966,2826271;201616;12480;6,19;2973,41;180;0;16,666666666666664;24946;100;966,2826271;24946;46,48196714984367;267606,89999999997;10,727447286138057;48,83593797022589
08240;Sant Sadurní d'Anoia;Alt Penedès;2025;659,28625;129234;11980;9,27;2021,08;91;1,098901098901099;17,582417582417584;19542;100;659,28625;19542;40,48426466073073;181897,19999999998;9,308013509364445;42,374067030535166
08244;Santa Coloma de Cervelló;Baix Llobregat;2025;937,0265789;82751;3790;4,58;2884,32;87;1,1494252873563218;11,494252873563218;21199;100;937,0265789;21199;53,041742284070004;259588,80000000002;12,245332326996557;55,74600126152599
08245;Santa Coloma de Gramenet;Barcelonès;2025;674,9214254;1232662;293620;23,82;2553,46;963;0;2,907580477673936;15925;100;674,9214254;15925;50,85750144301413;229811,4;14,430857142857143;65,69544696774497
08248;Santa Eulàlia de Ronçana;Vallès Oriental;2025;869,0971875;79605;3630;4,56;1969,31;74;0;16,216216216216218;19397;100;869,0971875;19397;53,76690338712172;177237,9;9,137387224828581;41,59730305067848
08250;Santa Margarida de Montbui;Anoia;2025;510,7373585;106031;14240;13,43;1288,61;94;0;10,638297872340425;13469;100;510,7373585;13469;45,503365520825604;115974,9;8,610505605464398;39,19871209100342
08251;Santa Margarida i els Monjos;Alt Penedès;2025;665,4374468;77761;10140;13,04;1629,79;73;0;31,506849315068493;18332;100;665,4374468;18332;43,55907354134846;146681,1;8,001369190486582;36,42566204621762
08252;Barberà del Vallès;Vallès Occidental;2025;806,0687379;340459;32650;9,59;2623,82;328;0,9146341463414633;9,146341463414634;19180;100;806,0687379;19180;50,43182927;236143,80000000002;12,311981230448385;56,04941563662741
08259;Santa Maria de Palautordera;Vallès Oriental;2025;754,7982609;100630;9580;9,52;1936,96;88;0;34,090909090909086;19072;100;754,7982609;19072;47,49150131501677;174326,4;9,140436241610738;41,61118348191917
08260;Santa Perpètua de Mogoda;Vallès Occidental;2025;739,5907273;260971;26880;10,3;2325,68;226;0,8849557522123894;29,20353982300885;18415;100;739,5907273;18415;48,19488855606842;209311,19999999998;11,36634265544393;51,74446353018869
08262;Sant Vicenç de Castellet;Bages;2025;561,4437778;101646;15440;15,19;1573,05;136;0;36,029411764705884;16436;100;561,4437778;16436;40,99127119493794;141574,5;8,613683378;39,213178673396406
08263;Sant Vicenç dels Horts;Baix Llobregat;2025;805,1751639;287536;29760;10,35;2435,38;235;0;20;17829;100;805,1751639;17829;54,19317946491672;219184,2;12,293690055527511;55,96614636855162
08264;Sant Vicenç de Montalt;Maresme;2025;1582,766296;68304;9180;13,44;3448,77;82;0;23,170731707317074;23591;100;1582,766296;23591;80,51034526726293;310389,3;13,157106523674281;59,8967882
08266;Cerdanyola del Vallès;Vallès Occidental;2025;902,1361488;582572;68860;11,82;3298,6;478;0,41841004184100417;9,832635983263598;20898;100;902,1361488;20898;51,80224799310938;296874;14,205857019810509;64,67114996965138
08267;Sentmenat;Vallès Occidental;2025;736,8048333;95259;6430;6,75;1992,09;104;0;17,307692307692307;18756;100;736,8048333;18756;47,140424395393474;179288,1;9,558973128598849;43,51654278185392
08270;Sitges;Garraf;2025;1290,850369;326866;89790;27,47;5233,07;389;1,5424164524421593;19,794344473007712;23059;100;1290,850369;23059;67,17639285311593;470976,3;20,424836289518193;92,98260914093221
08274;Súria;Bages;2025;486,0212963;61935;6720;10,85;1156,24;59;1,694915254237288;25,423728813559322;19001;100;486,0212963;19001;30,69446637334877;104061,6;5,476638071680438;24,93200386074788
08278;Taradell;Osona;2025;601,6247619;68410;6280;9,18;2595,8;49;0;30,612244897959183;22274;100;601,6247619;22274;32,41221667774086;233622,00000000003;10,488551674598188;47,74838275272359
08279;Terrassa;Vallès Occidental;2025;752,8635608;2327163;346980;14,91;2182,97;3.355;894,1877794336812;11505,21609538003;18684;100;752,8635608;18684;48,353472113037895;196467,3;10,515269749518303;47,870014881475115
08281;Teià;Maresme;2025;1360,546786;68952;7040;10,21;3656,28;93;0;40,86021505376344;26046;100;1360,546786;26046;62,68356535360516;329065,2;12,634001382170007;57,51538938929839
08282;Tiana;Maresme;2025;1331,023881;93664;5470;5,84;3831,57;88;1,1363636363636365;43,18181818181818;26539;100;1331,023881;26539;60,18420653378048;344841,3;12,993756358566637;59,153148237527674
08283;Tona;Osona;2025;639,4789583;85116;9150;10,75;2544,22;125;0;46,400000000000006;20036;100;639,4789583;20036;38,299797861848674;228979,8;11,428418846077061;52,02706095661509
08284;Tordera;Maresme;2025;629,6977692;190497;22250;11,68;1746,76;271;2,952029520295203;19,18819188191882;15538;100;629,6977692;15538;48,63156925215601;157208,4;10,11767280216244;46,05998316187741
08285;Torelló;Osona;2025;551,3607801;153341;27080;17,66;1462,87;156;0;3,8461538461538463;18869;100;551,3607801;18869;35,06454694;131658,3;6,977492182945571;31,76453506086057
08289;Torrelles de Llobregat;Baix Llobregat;2025;790,5848936;61614;3740;6,07;2126,37;55;0;38,18181818181819;20515;100;790,5848936;20515;46,24430281842554;191373,3;9,328457226419692;42,46713559301424
08291;Vacarisses;Vallès Occidental;2025;993,3084211;77165;3920;5,08;2004,8;90;0;1,1111111111111112;18570;100;993,3084211;18570;64,18794320516963;180432;9,71631664;44,23283788405499
08295;Vallirana;Baix Llobregat;2025;885,61225;162466;12120;7,46;2062,61;170;0;39,411764705882355;19166;100;885,61225;19166;55,44895648544297;185634,90000000002;9,685636022;44,09316656254066
08298;Vic;Osona;2025;679,8521642;503974;152200;30,2;1942,87;487;0,6160164271047228;30,800821355236142;17726;100;679,8521642;17726;46,024066176238286;174858,3;9,864509759675054;44,90747648349516
08300;Viladecavalls;Vallès Occidental;2025;944,3816667;78125;2250;2,88;2218,28;63;0;4,761904761904762;20806;100;944,3816667;20806;54,46784582;199645,2;9,595558973373066;43,68309722843608
08301;Viladecans;Baix Llobregat;2025;890,4987793;675453;67140;9,94;3317,91;927;0;40,88457389428263;18933;100;890,4987793;18933;56,44105715734432;298611,89999999997;15,77203295832673;71,80105412519758
08302;Vilanova del Camí;Anoia;2025;513,3454667;128902;11150;8,65;1348,66;84;0;9,523809523809524;15730;100;513,3454667;15730;39,16176478321678;121379,40000000001;7,7164272091544825;35,12848401734685
08305;Vilafranca del Penedès;Alt Penedès;2025;721,014664;425479;68800;16,17;2070,07;428;2,102803738317757;33,177570093457945;17997;100;721,014664;17997;48,07565687614602;186306,30000000002;10,352075345890983;47,12708400891511
08307;Vilanova i la Geltrú;Garraf;2025;844,1918561;713025;100180;14,05;3030,94;1.006;298,2107355864811;36878,72763419483;18972;100;844,1918561;18972;53,396069329538264;272784,6;14,378273244781782;65,45606252556188
08902;Vilanova del Vallès;Vallès Oriental;2025;1030,247692;56944;2870;5,04;2764,89;38;0;18,421052631578945;20847;100;1030,247692;20847;59,30336405238164;248840,09999999998;11,93649445963448;54,34003891735855
